Egg,EggNb,Chick,nest,LayingDate,HatchingDate,Growth,BLUP,latitude,longitude,FID_m,Repetition,Zone,SD_m,Date,Year,height_m,Count_Larcan_nests_Hannah,Count_Larcan_nests,Distance_coast
58.8,1,42.1,871_25,,,,-0.451364335,58.7657393,23.4351376,,,North,,,2025,0.577499986,12,,
62.5,2,40,871_25,,,,-0.451364335,58.7657393,23.4351376,,,North,,,2025,0.577499986,12,,
54.9,3,,871_25,,,,-0.451364335,58.7657393,23.4351376,,,North,,,2025,0.577499986,12,,
54.1,1,39.6,872_25,,,,-4.353365258,58.7657218,23.4358884,,,North,,,2025,0.476874977,9,,
51.4,2,36.8,872_25,,,,-4.353365258,58.7657218,23.4358884,,,North,,,2025,0.476874977,9,,
49.4,3,33.5,872_25,,,,-4.353365258,58.7657218,23.4358884,,,North,,,2025,0.476874977,9,,
55.1,1,33.1,881_25,,,,-3.496280486,58.7668464,23.4308659,,,Leg,,,2025,0.804374993,7,,
58.2,2,32.7,881_25,,,,-3.496280486,58.7668464,23.4308659,,,Leg,,,2025,0.804374993,7,,
55.8,3,38,881_25,,,,-3.496280486,58.7668464,23.4308659,,,Leg,,,2025,0.804374993,7,,
54.2,1,,883_25,,,,-9.228949087,58.7668298,23.430953,,,Leg,,,2025,0.522499979,4,,
54.7,2,,883_25,,,,-9.228949087,58.7668298,23.430953,,,Leg,,,2025,0.522499979,4,,
52.1,3,,883_25,,,,-9.228949087,58.7668298,23.430953,,,Leg,,,2025,0.522499979,4,,
57.4,1,30.3,884_25,,,,8.209143701,58.7665692,23.4308819,,,Leg,,,2025,0.410624981,3,,
56.4,2,32.9,884_25,,,,8.209143701,58.7665692,23.4308819,,,Leg,,,2025,0.410624981,3,,
56,3,33.3,884_25,,,,8.209143701,58.7665692,23.4308819,,,Leg,,,2025,0.410624981,3,,
54.8,1,,885_25,,,,28.29887332,58.7663485,23.4304051,,,Leg,,,2025,0.470624983,3,,
50.8,2,,885_25,,,,28.29887332,58.7663485,23.4304051,,,Leg,,,2025,0.470624983,3,,
48.2,3,,885_25,,,,28.29887332,58.7663485,23.4304051,,,Leg,,,2025,0.470624983,3,,
61.6,1,,893_25,,,,-2.118986998,58.7667246,23.4319374,,,Middle,,,2025,0.681249976,9,,
59.5,2,,893_25,,,,-2.118986998,58.7667246,23.4319374,,,Middle,,,2025,0.681249976,9,,
56.5,3,,893_25,,,,-2.118986998,58.7667246,23.4319374,,,Middle,,,2025,0.681249976,9,,
,1,38.4,894_25,,,,-2.398753974,58.766625,23.4318867,,,Middle,,,2025,0.434999973,10,,
60.3,2,42,894_25,,,,-2.398753974,58.766625,23.4318867,,,Middle,,,2025,0.434999973,10,,
52.9,3,38,894_25,,,,-2.398753974,58.766625,23.4318867,,,Middle,,,2025,0.434999973,10,,
57.1,1,45.3,895_25,,,,-6.636249966,58.7666333,23.4322,,,Middle,,,2025,0.585624993,12,,
57.2,2,38.6,895_25,,,,-6.636249966,58.7666333,23.4322,,,Middle,,,2025,0.585624993,12,,
52.1,3,36,895_25,,,,-6.636249966,58.7666333,23.4322,,,Middle,,,2025,0.585624993,12,,
56.2,1,,898_25,,,,-7.048115531,58.7669286,23.429334,,,Middle,,,2025,0.798124969,10,,
57.5,2,,898_25,,,,-7.048115531,58.7669286,23.429334,,,Middle,,,2025,0.798124969,10,,
52,3,,898_25,,,,-7.048115531,58.7669286,23.429334,,,Middle,,,2025,0.798124969,10,,
63.5,1,,900_25,,,,-10.48550859,58.76698,23.42926,,,Head,,,2025,0.763125002,19,,
66.8,2,32.7,900_25,,,,-10.48550859,58.76698,23.42926,,,Head,,,2025,0.763125002,19,,
64.4,3,30.2,900_25,,,,-10.48550859,58.76698,23.42926,,,Head,,,2025,0.763125002,19,,
50.2,1,34.8,901_25,,,,-2.498621734,58.766605,23.4322167,,,Middle,,,2025,0.563749969,9,,
46.6,2,,901_25,,,,-2.498621734,58.766605,23.4322167,,,Middle,,,2025,0.563749969,9,,
45.5,3,45.5,901_25,,,,-2.498621734,58.766605,23.4322167,,,Middle,,,2025,0.563749969,9,,
54.5,1,39.2,905_25,,,,-7.157037263,58.766825,23.42955,,,Head,,,2025,0.774999976,5,,
55.4,2,41.3,905_25,,,,-7.157037263,58.766825,23.42955,,,Head,,,2025,0.774999976,5,,
53.6,3,37.8,905_25,,,,-7.157037263,58.766825,23.42955,,,Head,,,2025,0.774999976,5,,
56.9,1,,907_25,,,,-7.799137126,58.7668583,23.4296683,,,Head,,,2025,1.491875052,16,,
57.6,1,,923_25,,,,,58.7658429,23.4357972,,,Middle,,,2025,0.748749971,9,,
52.1,1,36,924_25,,,,-0.26722927,58.7659951,23.4357398,,,North,,,2025,0.516250014,7,,
55.8,2,34.8,924_25,,,,-0.26722927,58.7659951,23.4357398,,,North,,,2025,0.516250014,7,,
47.7,3,33.9,924_25,,,,-0.26722927,58.7659951,23.4357398,,,North,,,2025,0.516250014,7,,
49.9,1,33.4,928_25,,,,17.10986965,58.7655731,23.4346537,,,North,,,2025,0.440624982,3,,
57.5,1,39.2,930_25,,,,16.20726423,58.7655342,23.4345558,,,North,,,2025,0.331874996,3,,
56.8,2,,930_25,,,,16.20726423,58.7655342,23.4345558,,,North,,,2025,0.331874996,3,,
51.2,3,39.2,930_25,,,,16.20726423,58.7655342,23.4345558,,,North,,,2025,0.331874996,3,,
57.1,1,,942_25,,,,10.73407496,58.7666117,23.4307632,,,Leg,,,2025,0.479999989,5,,
54.4,2,32.9,942_25,,,,10.73407496,58.7666117,23.4307632,,,Leg,,,2025,0.479999989,5,,
59.2,1,,943_25,,,,-5.452048932,58.766505,23.4306983,,,Leg,,,2025,0.402499974,2,,
60.2,2,,943_25,,,,-5.452048932,58.766505,23.4306983,,,Leg,,,2025,0.402499974,2,,
54.8,3,,943_25,,,,-5.452048932,58.766505,23.4306983,,,Leg,,,2025,0.402499974,2,,
51.1,1,37.8,944_25,,,,-14.29223236,58.7667969,23.430871,,,Leg,,,2025,0.788749933,14,,
50.7,2,35.7,944_25,,,,-14.29223236,58.7667969,23.430871,,,Leg,,,2025,0.788749933,14,,
50,3,34.2,944_25,,,,-14.29223236,58.7667969,23.430871,,,Leg,,,2025,0.788749933,14,,
60.8,1,,977_25,,,,-4.354746244,58.7662365,23.4338894,,,Middle,,,2025,0.875,10,,
59.6,2,47.3,977_25,,,,-4.354746244,58.7662365,23.4338894,,,Middle,,,2025,0.875,10,,
56.3,3,40.6,977_25,,,,-4.354746244,58.7662365,23.4338894,,,Middle,,,2025,0.875,10,,
60,1,40.3,979_25,,,,-1.737168872,58.7662341,23.4340577,,,Middle,,,2025,0.304166645,3,,
61.8,2,41.8,979_25,,,,-1.737168872,58.7662341,23.4340577,,,Middle,,,2025,0.304166645,3,,
56,3,35.5,979_25,,,,-1.737168872,58.7662341,23.4340577,,,Middle,,,2025,0.304166645,3,,
63.4,1,,986_25,,,,-4.355548649,58.7662433,23.43422,,,Middle,,,2025,0.28,3,,
60,2,,986_25,,,,-4.355548649,58.7662433,23.43422,,,Middle,,,2025,0.28,3,,
50.2,1,24.1,990_25,,,,-3.639037858,58.7662933,23.434622,,,Middle,,,2025,0.706874967,8,,
44,2,,990_25,,,,-3.639037858,58.7662933,23.434622,,,Middle,,,2025,0.706874967,8,,
62.2,1,45.2,1000_25,,,,6.113958435,58.7662816,23.4342553,,,Middle,,,2025,0.72437501,11,,
62.4,2,41.9,1000_25,,,,6.113958435,58.7662816,23.4342553,,,Middle,,,2025,0.72437501,11,,
57.1,3,32.9,1000_25,,,,6.113958435,58.7662816,23.4342553,,,Middle,,,2025,0.72437501,11,,
57.3,1,,1001_25,,,,-2.742627851,58.7662489,23.4344626,,,Middle,,,2025,0.477499992,7,,
55.7,2,39,1001_25,,,,-2.742627851,58.7662489,23.4344626,,,Middle,,,2025,0.477499992,7,,
54.6,3,36.7,1001_25,,,,-2.742627851,58.7662489,23.4344626,,,Middle,,,2025,0.477499992,7,,
46.4,1,,1022_25,,,,2.067371506,58.7672248,23.4302561,,,Head,,,2025,1.49437499,5,,
53.6,2,,1022_25,,,,2.067371506,58.7672248,23.4302561,,,Head,,,2025,1.49437499,5,,
51.9,1,,1033_25,,,,-5.903463556,58.7670293,23.4294489,,,Head,,,2025,1.560624957,8,,
49.5,2,,1033_25,,,,-5.903463556,58.7670293,23.4294489,,,Head,,,2025,1.560624957,8,,
54.5,1,38.4,1052_25,,,,-5.065640199,58.766752,23.4297576,,,Head,,,2025,0.75562501,5,,
56,2,35.4,1052_25,,,,-5.065640199,58.766752,23.4297576,,,Head,,,2025,0.75562501,5,,
55.5,3,34.7,1052_25,,,,-5.065640199,58.766752,23.4297576,,,Head,,,2025,0.75562501,5,,
58.4,1,,1056_25,,,,-8.567363985,58.766805,23.4296633,,,Head,,,2025,0.908124983,8,,
55.8,2,,1056_25,,,,-8.567363985,58.766805,23.4296633,,,Head,,,2025,0.908124983,8,,
55.8,1,41,1058_25,,,,-4.35773204,58.766775,23.4298307,,,Middle,,,2025,0.579999983,13,,
52.8,2,39.4,1058_25,,,,-4.35773204,58.766775,23.4298307,,,Middle,,,2025,0.579999983,13,,
51.9,3,37.3,1058_25,,,,-4.35773204,58.766775,23.4298307,,,Middle,,,2025,0.579999983,13,,
52.7,1,29.9,1073_25,,,,-2.12438001,58.7660782,23.4355197,,,North,,,2025,0.606249988,6,,
48.7,2,37.2,1073_25,,,,-2.12438001,58.7660782,23.4355197,,,North,,,2025,0.606249988,6,,
50.4,3,34.9,1073_25,,,,-2.12438001,58.7660782,23.4355197,,,North,,,2025,0.606249988,6,,
53.9,1,34.5,1074_25,,,,-6.217289996,58.7660498,23.4355217,,,North,,,2025,0.577499986,7,,
51.5,2,,1074_25,,,,-6.217289996,58.7660498,23.4355217,,,North,,,2025,0.577499986,7,,
50,3,37.2,1074_25,,,,-6.217289996,58.7660498,23.4355217,,,North,,,2025,0.577499986,7,,
53.6,1,33.5,1075_25,,,,-1.696238826,58.7656947,23.4351325,,,North,,,2025,0.544375002,10,,
55.5,2,40.1,1075_25,,,,-1.696238826,58.7656947,23.4351325,,,North,,,2025,0.544375002,10,,
49.9,3,,1075_25,,,,-1.696238826,58.7656947,23.4351325,,,North,,,2025,0.544375002,10,,
54.7,1,32,1076_25,,,,-6.928183951,58.7656596,23.4357591,,,North,,,2025,0.549374998,7,,
56.5,2,38.2,1076_25,,,,-6.928183951,58.7656596,23.4357591,,,North,,,2025,0.549374998,7,,
48.8,3,,1076_25,,,,-6.928183951,58.7656596,23.4357591,,,North,,,2025,0.549374998,7,,
59.1,1,,1077_25,,,,-1.743364288,58.7657135,23.4358429,,,North,,,2025,0.485624999,8,,
58.3,2,37.4,1077_25,,,,-1.743364288,58.7657135,23.4358429,,,North,,,2025,0.485624999,8,,
56.3,3,39,1077_25,,,,-1.743364288,58.7657135,23.4358429,,,North,,,2025,0.485624999,8,,
51.1,1,36,1080_25,,,,-0.83995646,58.7657745,23.4353495,,,North,,,2025,0.649374962,9,,
47.6,2,39.9,1080_25,,,,-0.83995646,58.7657745,23.4353495,,,North,,,2025,0.649374962,9,,
49,3,39.4,1080_25,,,,-0.83995646,58.7657745,23.4353495,,,North,,,2025,0.649374962,9,,
57.3,1,,1083_25,,,,,58.7661164,23.4345004,,,Middle,,,2025,0.25,4,,
55,1,39,1090_25,,,,4.828153899,58.76636,23.4329012,,,Middle,,,2025,0.664999962,8,,
52.2,2,,1090_25,,,,4.828153899,58.76636,23.4329012,,,Middle,,,2025,0.664999962,8,,
53,3,36.3,1090_25,,,,4.828153899,58.76636,23.4329012,,,Middle,,,2025,0.664999962,8,,
55.4,1,,1091_25,,,,-10.77824498,58.7664682,23.4324717,,,Middle,,,2025,0.423124999,7,,
51.9,2,,1091_25,,,,-10.77824498,58.7664682,23.4324717,,,Middle,,,2025,0.423124999,7,,
53,3,,1091_25,,,,-10.77824498,58.7664682,23.4324717,,,Middle,,,2025,0.423124999,7,,
50.6,1,,1092_25,,,,-2.979859971,58.7668073,23.4316504,,,Middle,,,2025,0.66624999,6,,
48,2,40.5,1092_25,,,,-2.979859971,58.7668073,23.4316504,,,Middle,,,2025,0.66624999,6,,
