nest,BLUP_25,latitude,longitude,first_egg_date,FID_m,Repetition,Zone,SD_m,Date,Time,Year,height_m,Egg1,Egg2,Egg3,Egg4,TotEgg,EggHatched,ProbaChick,HatchSucc,ClutchMass,Chick1,Chick2,Chick3,Chick4,ChickNmass,Count_Larcan_nests_Hannah
1101_25,,58.7665246,23.4306393,08/05/2025,12,2,Leg,27,10/05/2025,13:40:52,2025,0.57249999,52.4,52.5,47.2,,3,3,1,1,152.1,,31.7,34.1,,65.8,5
1102_25,7.690185038,58.7661533,23.4298283,08/05/2025,39,1,Leg,91,09/05/2025,12:57:12,2025,0.311874986,46.6,47.8,46.3,,3,0,0,0,140.7,,,,,0,1
1102_25,,58.7661533,23.4298283,08/05/2025,39,2,Leg,80,10/05/2025,13:45:46,2025,0.311874986,46.6,47.8,46.3,,3,0,0,0,140.7,,,,,0,1
1103_25,6.672689981,58.7668968,23.4314534,08/05/2025,20,1,Middle,23,10/05/2025,13:14:35,2025,0.913124979,62.6,60,61.9,,3,3,1,1,184.5,44.2,42.6,,,86.8,3
1103_25,,58.7668968,23.4314534,08/05/2025,20,2,Middle,22,11/05/2025,12:57:52,2025,0.913124979,62.6,60,61.9,,3,3,1,1,184.5,44.2,42.6,,,86.8,3
1107_25,12.91432994,58.7671707,23.4306401,08/05/2025,35,1,Head,61,10/05/2025,14:35:53,2025,0.654374957,61.7,59.9,54.5,,3,2,1,0.666666667,176.1,43.8,43.4,,,87.2,4
1107_25,,58.7671707,23.4306401,08/05/2025,44,2,Head,55,11/05/2025,14:45:12,2025,0.654374957,61.7,59.9,54.5,,3,2,1,0.666666667,176.1,43.8,43.4,,,87.2,4
1108_25,-7.303582836,58.7673248,23.4302538,08/05/2025,10,1,Head,64,09/05/2025,14:36:14,2025,0.543749988,52.1,51.4,40.1,,3,3,1,1,143.6,37.9,36.8,34,,108.7,6
1108_25,,58.7673248,23.4302538,08/05/2025,11,2,Head,65,10/05/2025,14:38:34,2025,0.543749988,52.1,51.4,40.1,,3,3,1,1,143.6,37.9,36.8,34,,108.7,6
1112_25,4.023519383,58.7672817,23.4299164,08/05/2025,22,1,Head,35,10/05/2025,14:54:36,2025,0.665624976,51.8,57.5,53.1,,3,2,1,0.666666667,162.4,,40.4,38.5,,78.9,6
1116_25,-2.469302998,58.7673956,23.4294869,09/05/2025,9,1,Head,35,10/05/2025,15:00:14,2025,0.463750005,47.9,,,,1,0,0,0,47.9,,,,,0,6
1122_25,-8.496162678,58.7670053,23.429241,08/05/2025,4,1,Head,51,09/05/2025,14:05:49,2025,0.690624952,53.3,,54.7,,3,1,1,0.333333333,108,,,37.5,,37.5,18
1122_25,,58.7670053,23.429241,08/05/2025,6,2,Head,52,10/05/2025,14:24:41,2025,0.690624952,53.3,,54.7,,3,1,1,0.333333333,108,,,37.5,,37.5,18
1156_25,-3.221682698,58.76603,23.4357086,09/05/2025,11,1,North,40,10/05/2025,10:50:37,2025,0.41624999,47.6,46.6,49.6,,3,2,1,0.666666667,143.78,,40.3,39.5,,79.8,9
1156_25,,58.76603,23.4357086,09/05/2025,7,2,North,32,11/05/2025,10:55:40,2025,0.41624999,47.6,46.6,49.6,,3,2,1,0.666666667,143.78,,40.3,39.5,,79.8,9
1157_25,,58.7660868,23.4357018,09/05/2025,,,North,,,,2025,0.34,60.2,50.3,,,2,0,0,0,110.5,,,,,0,6
1160_25,-5.935115805,58.765678,23.4355437,09/05/2025,4,1,North,21,10/05/2025,11:42:03,2025,0.555625021,54.3,51.8,53.3,,3,3,1,1,159.4,37.6,,39.7,,77.3,9
1160_25,,58.765678,23.4355437,09/05/2025,3,2,North,41,11/05/2025,11:13:18,2025,0.555625021,54.3,51.8,53.3,,3,3,1,1,159.4,37.6,,39.7,,77.3,9
1161_25,-1.556243427,58.7656734,23.4359084,09/05/2025,10,1,North,32,10/05/2025,11:21:13,2025,0.486874998,54.4,55.6,54,,3,2,1,0.666666667,109.6,37.9,,35.5,,73.4,6
1161_25,,58.7656734,23.4359084,09/05/2025,13,2,North,40,11/05/2025,10:50:54,2025,0.486874998,54.4,55.6,54,,3,2,1,0.666666667,109.6,37.9,,35.5,,73.4,6
1168_25,-6.406370424,58.7662975,23.4347271,09/05/2025,7,1,Middle,67,10/05/2025,12:00:35,2025,0.748749971,55.9,54,53.5,,3,3,1,1,163.4,41,39.6,37.7,,118.3,8
1168_25,,58.7662975,23.4347271,09/05/2025,10,2,Middle,35,11/05/2025,11:44:21,2025,0.748749971,55.9,54,53.5,,3,3,1,1,163.4,41,39.6,37.7,,118.3,8
1171_25,-6.120408032,58.7662255,23.4340368,09/05/2025,8,1,Middle,61,10/05/2025,12:17:21,2025,0.424374998,54.3,55.1,52.6,,3,0,0,0,162,,,,,0,6
1171_25,,58.7662255,23.4340368,09/05/2025,11,2,Middle,45,11/05/2025,12:29:48,2025,0.424374998,54.3,55.1,52.6,,3,0,0,0,162,,,,,0,6
1176_25,-9.592662961,58.7664114,23.4327262,09/05/2025,5,1,Middle,57,10/05/2025,12:39:10,2025,0.694374979,63.2,58.8,58.2,,3,3,1,1,117,45.2,43.6,41.3,,130.1,6
1176_25,,58.7664114,23.4327262,09/05/2025,7,2,Middle,61,11/05/2025,12:43:47,2025,0.694374979,63.2,58.8,58.2,,3,3,1,1,117,45.2,43.6,41.3,,130.1,6
1177_25,-2.979636147,58.7664466,23.4327662,09/05/2025,9,1,Middle,48,10/05/2025,12:44:25,2025,0.410624981,42.8,51,49.7,,3,3,1,1,143.5,33.8,36.1,27.3,,97.2,3
1177_25,,58.7664466,23.4327662,09/05/2025,20,2,Middle,60,11/05/2025,12:43:57,2025,0.410624981,42.8,51,49.7,,3,3,1,1,143.5,33.8,36.1,27.3,,97.2,3
